epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,865.902,1.20148,1.04891,1.23629,0.57445,0.71637,0.63046,0.39987,1.3327,1.0199,1.3206,0.000569375,0.000569375,0.000569375
57,881.931,1.2266,1.06588,1.25383,0.51533,0.72987,0.65146,0.40072,1.33881,0.967,1.2943,0.000557,0.000557,0.000557
58,897.398,1.20891,1.0167,1.24349,0.6984,0.67614,0.66764,0.41306,1.31561,0.97927,1.31829,0.000544625,0.000544625,0.000544625
59,912.621,1.1939,1.01423,1.22952,0.56504,0.91273,0.64495,0.40379,1.32022,0.97899,1.2868,0.00053225,0.00053225,0.00053225
60,927.94,1.19111,0.99738,1.23941,0.50974,0.75363,0.64089,0.40693,1.28205,0.96307,1.28351,0.000519875,0.000519875,0.000519875
61,943.346,1.18299,1.02388,1.23762,0.67305,0.65975,0.65041,0.42196,1.32474,0.99111,1.32349,0.0005075,0.0005075,0.0005075
62,959.423,1.19338,0.99873,1.23358,0.62037,0.71742,0.64739,0.40783,1.3375,0.96212,1.30136,0.000495125,0.000495125,0.000495125
63,974.651,1.17167,0.9828,1.22269,0.67006,0.68457,0.64513,0.40757,1.31792,0.93296,1.29895,0.00048275,0.00048275,0.00048275
64,989.711,1.15301,0.96297,1.22634,0.60345,0.72926,0.65589,0.42818,1.2791,0.90518,1.27822,0.000470375,0.000470375,0.000470375
65,1004.8,1.17141,0.97236,1.21774,0.6426,0.73473,0.66597,0.4375,1.26397,0.90056,1.27469,0.000458,0.000458,0.000458
66,1019.79,1.14586,0.95828,1.20602,0.63649,0.70685,0.6453,0.41207,1.30302,0.92308,1.29159,0.000445625,0.000445625,0.000445625
67,1036.03,1.15286,0.96014,1.21693,0.52854,0.76121,0.64263,0.39725,1.34313,0.94949,1.29298,0.00043325,0.00043325,0.00043325
68,1051.42,1.14668,0.9406,1.21666,0.61175,0.70432,0.63946,0.39993,1.31458,0.91802,1.29185,0.000420875,0.000420875,0.000420875
69,1066.33,1.15026,0.92489,1.20499,0.6863,0.69413,0.78075,0.50213,1.33109,0.93506,1.31653,0.0004085,0.0004085,0.0004085
70,1081.72,1.135,0.89678,1.19632,0.70376,0.67475,0.65895,0.41736,1.28237,0.90821,1.29918,0.000396125,0.000396125,0.000396125
71,1097.06,1.11818,0.92204,1.19908,0.67095,0.71393,0.66691,0.43274,1.29006,0.88759,1.27251,0.00038375,0.00038375,0.00038375
72,1112.93,1.12383,0.91948,1.19551,0.67378,0.70815,0.65801,0.42453,1.26132,0.89779,1.26194,0.000371375,0.000371375,0.000371375
73,1128.45,1.11232,0.93172,1.18869,0.68014,0.72991,0.67122,0.43233,1.29307,0.8597,1.25458,0.000359,0.000359,0.000359
74,1143.71,1.12517,0.9122,1.19505,0.69525,0.69204,0.66853,0.43835,1.29359,0.88201,1.27094,0.000346625,0.000346625,0.000346625
75,1159.26,1.10103,0.88706,1.18107,0.68204,0.70694,0.68098,0.44725,1.28344,0.86737,1.27749,0.00033425,0.00033425,0.00033425
76,1175.7,1.07984,0.87901,1.18095,0.71936,0.64523,0.67337,0.43873,1.27797,0.87796,1.26935,0.000321875,0.000321875,0.000321875
77,1191.52,1.09962,0.88355,1.18016,0.71595,0.71172,0.71133,0.47832,1.27501,0.86875,1.27511,0.0003095,0.0003095,0.0003095
78,1206.81,1.08611,0.87083,1.1699,0.74576,0.64428,0.79652,0.53595,1.2849,0.83752,1.26383,0.000297125,0.000297125,0.000297125
79,1222.31,1.08906,0.87117,1.17767,0.739,0.71575,0.70153,0.46447,1.29797,0.8779,1.30847,0.00028475,0.00028475,0.00028475
80,1237.52,1.0979,0.84988,1.17208,0.71253,0.67756,0.67449,0.44327,1.29538,0.86303,1.30689,0.000272375,0.000272375,0.000272375
81,1253.51,1.08675,0.8493,1.17383,0.72072,0.69681,0.66919,0.44124,1.28462,0.8763,1.28489,0.00026,0.00026,0.00026
82,1269.28,1.07231,0.84108,1.1566,0.84112,0.65995,0.78496,0.53635,1.27952,0.85402,1.28589,0.000247625,0.000247625,0.000247625
83,1284.79,1.06244,0.83133,1.17604,0.73091,0.68724,0.70118,0.44683,1.30075,0.86174,1.28368,0.00023525,0.00023525,0.00023525
84,1300.16,1.06346,0.84305,1.16465,0.78201,0.68299,0.69466,0.47055,1.25361,0.8742,1.26618,0.000222875,0.000222875,0.000222875
85,1315.4,1.05966,0.85484,1.15525,0.78496,0.66445,0.68902,0.4664,1.28761,0.88833,1.27216,0.0002105,0.0002105,0.0002105
86,1331.51,1.06217,0.83295,1.15229,0.74675,0.68318,0.71075,0.47514,1.26649,0.84037,1.2727,0.000198125,0.000198125,0.000198125
87,1346.89,1.02217,0.81975,1.13674,0.77399,0.69181,0.7815,0.53894,1.26443,0.84974,1.27665,0.00018575,0.00018575,0.00018575
88,1362.2,1.03348,0.81324,1.14479,0.74508,0.67919,0.69732,0.46071,1.27518,0.8544,1.27921,0.000173375,0.000173375,0.000173375
